depth,latitude,longitude,time,nh4,no3,po4
1.0182366,37.854168,23.458334,2025-10-19,0.006710461,0.002167731,0.0048003956
1.0182366,37.854168,23.458334,2025-10-20,0.00679698,0.0022568663,0.004788007
1.0182366,37.854168,23.458334,2025-10-21,0.005951203,0.0019722572,0.0047565643
1.0182366,37.854168,23.458334,2025-10-22,0.005566623,0.0017988926,0.0047297715
1.0182366,37.854168,23.458334,2025-10-23,0.0055203023,0.0017369797,0.004704901
1.0182366,37.854168,23.458334,2025-10-24,0.0055778334,0.0017534088,0.0046825595
1.0182366,37.854168,23.458334,2025-10-25,0.005818566,0.0019351274,0.0046735606
1.0182366,37.854168,23.458334,2025-10-26,0.0061741928,0.0022109153,0.0046645636
1.0182366,37.854168,23.458334,2025-10-27,0.0060445373,0.0021762648,0.0046380367
1.0182366,37.854168,23.458334,2025-10-28,0.005104339,0.0018736651,0.0045745214
1.0182366,37.854168,23.458334,2025-10-29,0.005126218,0.0019391584,0.0045307875
1.0182366,37.854168,23.458334,2025-10-30,0.005126531,0.0018807532,0.0044993763
1.0182366,37.854168,23.458334,2025-10-31,0.0050922753,0.0017469028,0.004471343
1.0182366,37.854168,23.458334,2025-11-01,0.0050817886,0.0016334247,0.0044452874
1.0182366,37.854168,23.458334,2025-11-02,0.0051384843,0.001599928,0.0044231284
1.0182366,37.854168,23.458334,2025-11-03,0.004993423,0.0015462247,0.0043969206
1.0182366,37.854168,23.458334,2025-11-04,0.0042364043,0.0013810202,0.0043371385
1.0182366,37.854168,23.458334,2025-11-05,0.004232791,0.0014838843,0.0042798924
1.0182366,37.854168,23.458334,2025-11-06,0.004515059,0.0016088629,0.00422741
1.0182366,37.854168,23.458334,2025-11-07,0.0047009327,0.0016880305,0.0041813
1.0182366,37.854168,23.458334,2025-11-08,0.004599614,0.001452423,0.004138983
1.0182366,37.854168,23.458334,2025-11-09,0.00446993,0.0011037396,0.004101424
1.0182366,37.854168,23.458334,2025-11-10,0.004403356,0.00094469957,0.00406332
1.0182366,37.854168,23.458334,2025-11-11,0.0040738047,0.0010482691,0.0040125865
1.0182366,37.854168,23.458334,2025-11-12,0.004294859,0.0012910694,0.003982161
1.0182366,37.854168,23.458334,2025-11-13,0.0046580876,0.0015362608,0.003969661
1.0182366,37.854168,23.458334,2025-11-14,0.0047350037,0.0013629933,0.003961263
1.0182366,37.854168,23.458334,2025-11-15,0.0047687446,0.0011406407,0.003954751
1.0182366,37.854168,23.458334,2025-11-16,0.0049238075,0.0011120935,0.00395321
1.0182366,37.854168,23.458334,2025-11-17,0.00527103,0.0013496297,0.003955758
1.0182366,37.854168,23.458334,2025-11-18,0.006051162,0.0020927372,0.003956166
1.0182366,37.854168,23.5,2025-10-19,0.006469314,0.001886503,0.0047480674
1.0182366,37.854168,23.5,2025-10-20,0.006540959,0.0019485956,0.0047392994
1.0182366,37.854168,23.5,2025-10-21,0.005720108,0.0017059215,0.0047108294
1.0182366,37.854168,23.5,2025-10-22,0.0053126263,0.0015335872,0.004685202
1.0182366,37.854168,23.5,2025-10-23,0.0052800654,0.0014968594,0.0046614935
1.0182366,37.854168,23.5,2025-10-24,0.005359634,0.0015352672,0.0046408847
1.0182366,37.854168,23.5,2025-10-25,0.005522414,0.0016443273,0.0046389103
1.0182366,37.854168,23.5,2025-10-26,0.005743075,0.0018000561,0.0046415385
1.0182366,37.854168,23.5,2025-10-27,0.005535472,0.0017344638,0.004621328
1.0182366,37.854168,23.5,2025-10-28,0.004601186,0.001454007,0.0045583774
1.0182366,37.854168,23.5,2025-10-29,0.0046129455,0.0015319181,0.004514926
1.0182366,37.854168,23.5,2025-10-30,0.004634842,0.0015100837,0.0044832663
1.0182366,37.854168,23.5,2025-10-31,0.0046939123,0.0014360083,0.0044528865
1.0182366,37.854168,23.5,2025-11-01,0.0048206127,0.0014555203,0.004425297
1.0182366,37.854168,23.5,2025-11-02,0.0050161164,0.0015699916,0.0044033052
1.0182366,37.854168,23.5,2025-11-03,0.004972127,0.0016400656,0.0043774517
1.0182366,37.854168,23.5,2025-11-04,0.0041911607,0.0014685214,0.0043141018
1.0182366,37.854168,23.5,2025-11-05,0.004118899,0.0015075123,0.004253228
1.0182366,37.854168,23.5,2025-11-06,0.0043508164,0.0016047991,0.0041984604
1.0182366,37.854168,23.5,2025-11-07,0.004450616,0.001524464,0.004149913
1.0182366,37.854168,23.5,2025-11-08,0.0042864163,0.0010503882,0.0041066
1.0182366,37.854168,23.5,2025-11-09,0.0042750426,0.0006737994,0.004071121
1.0182366,37.854168,23.5,2025-11-10,0.0044914302,0.0007884578,0.004039006
1.0182366,37.854168,23.5,2025-11-11,0.0042399513,0.0009836605,0.003989815
1.0182366,37.854168,23.5,2025-11-12,0.0045338213,0.001378807,0.0039624707
1.0182366,37.854168,23.5,2025-11-13,0.0050472566,0.0018571833,0.0039551985
1.0182366,37.854168,23.5,2025-11-14,0.0051318696,0.0016811545,0.003948777
1.0182366,37.854168,23.5,2025-11-15,0.0052237366,0.0015174655,0.003943063
1.0182366,37.854168,23.5,2025-11-16,0.0055206693,0.0016744776,0.003942554
1.0182366,37.854168,23.5,2025-11-17,0.0060954927,0.0022274063,0.0039477907
1.0182366,37.854168,23.5,2025-11-18,0.0071673323,0.0032624998,0.003952249
1.0182366,37.854168,23.541666,2025-10-19,0.006523167,0.0019405409,0.004681
1.0182366,37.854168,23.541666,2025-10-20,0.0065491,0.0018992668,0.0046705664
1.0182366,37.854168,23.541666,2025-10-21,0.005790038,0.001661019,0.004641943
1.0182366,37.854168,23.541666,2025-10-22,0.005407114,0.0015082798,0.004617316
1.0182366,37.854168,23.541666,2025-10-23,0.005413658,0.0015200806,0.0045953067
1.0182366,37.854168,23.541666,2025-10-24,0.0055392315,0.0016121127,0.004576604
1.0182366,37.854168,23.541666,2025-10-25,0.0056147007,0.0016128427,0.0045758425
1.0182366,37.854168,23.541666,2025-10-26,0.005682457,0.0016205698,0.0045836866
1.0182366,37.854168,23.541666,2025-10-27,0.005377518,0.0015346173,0.0045707934
1.0182366,37.854168,23.541666,2025-10-28,0.004365166,0.0012173593,0.00451128
1.0182366,37.854168,23.541666,2025-10-29,0.0042849,0.0012543875,0.0044685146
1.0182366,37.854168,23.541666,2025-10-30,0.00438958,0.0013181173,0.0044365027
1.0182366,37.854168,23.541666,2025-10-31,0.004629615,0.0014173662,0.004406959
1.0182366,37.854168,23.541666,2025-11-01,0.0049516447,0.001642814,0.004381503
1.0182366,37.854168,23.541666,2025-11-02,0.005294438,0.0019186735,0.0043629287
1.0182366,37.854168,23.541666,2025-11-03,0.0052808267,0.0020372805,0.0043397057
1.0182366,37.854168,23.541666,2025-11-04,0.004378408,0.0017254349,0.004275519
1.0182366,37.854168,23.541666,2025-11-05,0.0041742297,0.0015948188,0.0042155576
1.0182366,37.854168,23.541666,2025-11-06,0.00429466,0.0015737164,0.00416404
1.0182366,37.854168,23.541666,2025-11-07,0.0042582983,0.00125173,0.0041186386
1.0182366,37.854168,23.541666,2025-11-08,0.0041936683,0.0007421097,0.0040801186
1.0182366,37.854168,23.541666,2025-11-09,0.0045415033,0.00071221765,0.004052804
1.0182366,37.854168,23.541666,2025-11-10,0.00519277,0.0013767363,0.004030011
1.0182366,37.854168,23.541666,2025-11-11,0.0049592447,0.0016415905,0.003983602
1.0182366,37.854168,23.541666,2025-11-12,0.005248796,0.0020864336,0.0039569964
1.0182366,37.854168,23.541666,2025-11-13,0.005822776,0.0027029437,0.003950494
1.0182366,37.854168,23.541666,2025-11-14,0.0060026823,0.0026950566,0.003944963
1.0182366,37.854168,23.541666,2025-11-15,0.0062813736,0.0027992758,0.003940886
