time,chl,nh4,no3,po4,thetao,so
2026-08-16,0.06402282,0.0058319382,0.0025723933,0.0046975,26.315895,38.94787
2026-08-17,0.069875084,0.005724501,0.0026199084,0.0046945554,26.336885,38.95388
2026-08-18,0.0750939,0.0053384784,0.0028378945,0.004704616,26.489143,38.957375
2026-08-19,0.07260787,0.0053007533,0.0031455404,0.004724426,26.722366,38.96691
2026-08-20,0.07020769,0.005419443,0.0034429338,0.0047541596,27.024286,38.988308
2026-08-21,0.0677543,0.0055815503,0.0038007724,0.004796962,27.204786,38.991734
2026-08-22,0.065167025,0.005740501,0.004136797,0.0048573692,27.464035,39.010876
2026-08-23,0.06270542,0.0059061553,0.004330229,0.0049208286,27.759924,39.00702
2026-08-24,0.07474601,0.0058709257,0.0042949026,0.004969211,27.739489,39.00883
2026-08-25,0.08536897,0.0051200273,0.0037859622,0.0049768332,27.751144,39.008846
2026-08-26,0.08162504,0.0049980483,0.0036750196,0.004999017,27.971579,39.01411
2026-08-27,0.078021295,0.0051083523,0.0037375072,0.0050339676,28.18627,39.017647
2026-08-28,0.07448766,0.0052832733,0.003912055,0.0050876895,28.302965,39.04196
2026-08-29,0.0710467,0.005446903,0.0040535475,0.0051472764,27.96475,39.047497
2026-08-30,0.067857035,0.005591962,0.004176457,0.005211571,27.933212,39.050137
2026-08-31,0.08468982,0.00539854,0.004044872,0.0052651013,28.030668,39.063343
2026-09-01,0.09870181,0.0044675176,0.0034014725,0.005260045,28.129898,39.066097
2026-09-02,0.093199104,0.0044125677,0.0033021525,0.005265763,28.201523,39.066624
2026-09-03,0.08839655,0.004628847,0.003426193,0.0052897446,28.149244,39.06991
2026-09-04,0.08473771,0.0048002135,0.0033835096,0.005300853,27.916588,39.061848
2026-09-05,0.08209399,0.004818293,0.0030924417,0.005258042,27.740616,39.048252
2026-09-06,0.079369284,0.0049184253,0.0030840954,0.005257906,27.765213,39.046406
2026-09-07,0.0905134,0.004855326,0.0030819231,0.0052796993,27.763474,39.047806
2026-09-08,0.09822067,0.0042927004,0.0025542504,0.0052485648,27.657766,39.049496
2026-09-09,0.09357607,0.0041957074,0.0023604424,0.0052031246,27.561445,39.049774
2026-09-10,0.08968005,0.0042991578,0.0023766893,0.005202186,27.538658,39.053814
2026-09-11,0.08649183,0.0044315946,0.0024045361,0.005218389,27.573387,39.055885
2026-09-12,0.083572395,0.004589707,0.0025401956,0.0052527157,27.649347,39.058987
2026-09-13,0.08075851,0.0047589634,0.0027073622,0.005299348,27.581583,39.060726
2026-09-14,0.07818336,0.0049093026,0.0027561558,0.005340953,27.51586,39.058887
2026-09-15,0.075751595,0.0050435355,0.00276661,0.0053769187,27.362738,39.059414
